ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum
ISic000079,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000294,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000300,,,,,,metal.bronze,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000420,,,,,,metal.lead,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000639,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000758,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001114,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001283,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001295,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001668,,,,,,animal.ivory,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001683,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001685,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001693,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001755,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001895,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic002759,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003069,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003327,,,,,,metal.bronze,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003342,,,,,,metal.bronze,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003405,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003411,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003431,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003449,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003652,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003716,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic004367,,,,,,metal.bronze,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020001,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020002,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020003,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020004,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020005,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020006,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020007,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020008,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020009,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020010,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020011,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020012,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020013,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020014,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020015,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020016,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020017,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020018,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020019,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020020,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020021,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020022,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020023,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020024,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020025,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020026,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020027,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020028,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020029,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020030,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020031,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020032,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020033,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
