ISic,subtype,text description,test batch
ISic000043,plaster,,
ISic000613,plaster,,
ISic001089,plaster,,
ISic001430,plaster,,
ISic001485,plaster,,
ISic001549,plaster,,
ISic001550,plaster,,
ISic001551,plaster,,
ISic001553,plaster,,
ISic001554,plaster,,
ISic001687,plaster,,
ISic001780,plaster,,
ISic001906,plaster,,
ISic002037,plaster,,
ISic002123,mortar,,
ISic003070,plaster,,
ISic003114,plaster,,
ISic003115,plaster,,
ISic003116,plaster,,
ISic003660,plaster,,
ISic003661,plaster,,
ISic003662,plaster,,
ISic003702,mortar,,
ISic004519,plaster,,
ISic003005,Etnean_basalt,,
