ana,type (expanded),type,type same as,subtype,subtype old,subtype same as,PCLI,ADM1,ADM2,ADM3,PPL,ANS,ISL,MT,VLC,CAPE,PEN,placeName,,BGS code,similar to BGS code,SGI code,similar to SGI code,Basilone 2018 code,similar to ref code,"references, fogli SGI",coordinates,radius (m),uri
#material.inorganic.stone.metamorphic_rock.marble.calcitic_marble.Algerian_scritto_Annaba,stone.metamorphic_rock.marble,stone.marble,,Algerian_scritto_Annaba,Algerian_scritto_Annaba,,algeria,Annaba,Annaba District,,,,,,,Cap de Garde,,Annaba,,MCABR,,na,na,na,,"2012 Herrmann et al, 2022 Perna et al","36.96721,  7.79214",,https://www.geonames.org/2496099/cap-de-garde.html
#material.inorganic.stone.metamorphic_rock.marble.calcitic_marble.Algerian_scritto_Mt-Filfila,stone.metamorphic_rock.marble,stone.marble,,Algerian_scritto_Mt-Filfila,Algerian_scritto_Mt-Filfila,,algeria,Skikda,,Daïra de Skikda,,,,Mt. Filfila,,,,Mt. Filfila,,MCABR,,na,na,na,,2012 Herrmann et al,"36.89806,  7.09778",,https://www.geonames.org/2496417/djebel-filfila.html
#material.inorganic.stone.metamorphic_rock.marble.calcitic_marble.Aphrodisian,stone.metamorphic_rock.marble,stone.marble,,Aphrodisian,Aphrodisian,,turkey ,Denizli,Babadağ İlçesi,,,,,,,,,"Babadağ, Denizli",,MCABR,,na,na,na,,2015 Antonelli and Lazzarini,"37.81823,  28.8682",,https://www.geonames.org/8632205/babadag-ilcesi.html
#material.inorganic.stone.sedimentary_rock.sandstone.flysch_numidico,stone.sedimentary_rock.sandstone.yellow,stone.sandstone.yellow,arenaria-gialla,arenaria_gialla_flysch_numidico,arenaria_gialla_flysch_numidico,,italy,Sicily,,,,,,,,,,Sicilia,,AREN,,,,,,,"37.75, 14.25",170000,https://www.geonames.org/2523119/sicilia.html
#material.inorganic.stone.sedimentary_rock.sandstone.flysch_di_Reitano-sandstone,stone.sedimentary_rock.sandstone.grey,stone.sandstone.grey,arenaria-grigia,arenaria_grigia,arenaria_grigia,,italy,Sicily,,,,,,,,,,Sicilia,,AREN,,,,,,,"37.75, 14.25",170000,https://www.geonames.org/2523119/sicilia.html
#material.inorganic.stone.sedimentary_rock.sandstone.flysch_di_Capo_d-Orlando,stone.sedimentary_rock.sandstone.grey,stone.sandstone.grey,arenaria-grigia,arenaria_grigia_flysch_di_Capo_d-Orlando,arenaria_grigia_flysch_di_Capo_d-Orlando,,italy,Sicily,province of Messina ,Capo d'Orlando,,,,,,,,Capo d'Orlando,tethyan domain,AREN,,CODb,,,,"587, 600","38.02466, 15.01268",20000,https://www.geonames.org/2525384/capo-d-orlando.html
#material.inorganic.stone.sedimentary_rock.sandstone.flysch_di_Reitano-sandstone,stone.sedimentary_rock.sandstone.grey,stone.sandstone.grey,arenaria-grigia,arenaria_grigia_flysch_di_Reitano,arenaria_grigia_flysch_di_Reitano,Reitano_FM,italy,Sicily,province of Messina ,Reitano,,,,,,,,Reitano,tethyan domain,AREN,,,,REI,,,"37.97206, 14.34327",8000,https://www.geonames.org/6541333/reitano.html
#material.inorganic.stone.metamorphic_rock.marble.calcitic_marble.Bardiglio,stone.metamorphic_rock.marble,stone.marble,,Bardiglio,Bardiglio,,italy,Tuscany,Province of Massa Carrara,Carrara,,,,,,,,Carrara,,MCABR,,na,na,na,,2015 Antonelli and Lazzarini,"44.06294,  10.06069",,https://www.geonames.org/6542087/carrara.html
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.grey,stone.sedimentary_rock.limestone.calcite_limestone.grey,stone.limestone.polishable.grey,calcare-lucidabile_grigio,bigio_antico-Chios,bigio_antico-Chios,bigio_antico,greece,North Aegean,Chios,Chios,,,,,,,,Chios,,CLST,,,,,,,"38.41102, 26.06161",,https://www.geonames.org/259972/nisi-chios.html
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.grey.Teian,stone.sedimentary_rock.limestone.calcite_limestone.grey,stone.limestone.polishable.grey,calcare-lucidabile_grigio,bigio_antico-Teian,bigio_antico-Teian,bigio_antico,turkey ,İzmir Province ,Seferihisar,,,Teos,,,,,,Teos,,MCABR,,na,na,na,,,"38.17725, 26.78493",,https://www.geonames.org/8224451/teos.html
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.white.calcare-lucidabile_bianco,stone.sedimentary_rock.limestone.calcite_limestone.white,stone.limestone.polishable.white,calcare-lucidabile_bianco,calcare_bianco_SiciliaOR,calcare_bianco_E,,italy,Sicily,,,,,,,,,,Sicilia Orientale,,,,,,,,,"37.39, 14.71",120000,
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.white.calcare-lucidabile_bianco,stone.sedimentary_rock.limestone.calcite_limestone.white,stone.limestone.polishable.white,calcare-lucidabile_bianco,calcare_bianco_SiciliaOR_Scillato_FM,calcare_bianco_E_Scillato_FM,Scillato_FM,italy,Sicily,province of Catania,Castel di Iudica,,,,Monte Iudica,,,,Iudica,Mt Judica,CLST,LMST,SCT,,"MUF, SCT",,633,"37.5,  14.63333",5000,https://www.geonames.org/2524490/monte-iudica.html
#material.inorganic.stone.sedimentary_rock.limestone.calcilutite.white.calcare-lucidabile_bianco_scaglia,stone.sedimentary_rock.limestone.calcilutite.white,stone.limestone.polishable.white,calcare-lucidabile_bianco,calcare_bianco_lattimusa,calcare_bianco_lattimusa,lattimusa_FM,italy,Sicily,,,,,,,,,,Sicilia,,LMMST,LMST,,,LTM,,,"37.88612, 13.10107",40000,https://www.geonames.org/2523918/palermo.html
