"
ISic",type wip,subtype dropdown,subtype old,subtype,,Ancient place,Date after,Date before,Type of text,Execution ,Language,Link to image,Museum,ref,,test batch,subtype old,,subtype work in progress,formation,details,placeName,category,text description,macro description,micro description,Notes and comments,certainty,", likely ",location,data to check,Udden–Wentworth scale (BGS),matrix/cement,classification Folk,classification Dunham,unit,formation,member,location,geological age,"visually assessed polished (compact), smooth (soft), rough",-supported,brecciated?,visually assessed colour (fresh cut),visually assessed colour (alteration),veined?,visually assessed visible porosity,stylolites?,predominant grain size by class,predominant crystal size by class,visually assessed homogeneity of grainsize,,OM?,OM grains bio,DM grains bio,DM observations,OM dolomite crystals,DM dolomite crystals,OM grains ooids,OM grains pisoids,OM grains oncoids,OM grains peloids,OM grains intra,OM grains extra,OM grains extra description,OM bio grains description,OM grains extra granulometry max (mm),OM matrix micrite,OM cement sparite,OM cement druse,OM cement fibrous,OM quartz,OM quartz granulometry min (mm),OM quartz granulometry max (mm),OM microsparite and sparite (%),OM micrite (%),glauconite,plagioclase,feldspars,limonite,pyrite,apatite,Fe OX-HOX,chert,dolomite,smell,XRD?,Calcite,Magnesian calcite,Dolomite,Aragonite,Quartz,Fe-oxihydroxides,Clay Minerals,Alkali_Feldspar,Plagioclase,Pyroxene,Sulphates,Sulphides,Olivine,Graphite,other,pXRF?,CaO,SiO2,K2O,Fe2O3,As,Au,Co,pXRF Cr,Cu,Fe,Hg,Mn,Nb,Pb,Rb,Sr,Th,Ti,Y,Zn,Zr
ISic001207,stone.sandstone.yellow,arenaria_grigia_flysch_di_Capo_d-Orlando,flysch_di_Capo_d-Orlando,arenaria_grigia_flysch_di_Capo_d-Orlando,,,,,,,,,,,,no,,,unspecified,,,,flysch di capo d'orlando,"yellow sandstone , likely arenaria (flysch di capo d'Orlando) (angular quartz grains, plagioclases, feldspars, micas).",yellow sandstone ,"angular quartz grains, plagioclases, feldspars, micas",,1,arenaria (flysch di capo d'Orlando),,,,,,,,,,,,rough,grain,no,greyish yellow,,no,no,no,sand,,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001202,stone.sandstone.yellow,arenaria_gialla_flysch_numidico,flysch_di_Capo_d-Orlando,arenaria_gialla_flysch_numidico,,,,,,,,,,,,no,,,unspecified,,,,tufite di Tusa,"greyish sandstone/conglomerate, likely arenaria (plagioclases, feldspars in opaque matrix).",greyish sandstone/conglomerate,"plagioclases, feldspars in opaque matrix",,1,arenaria,,,,,,,,,,,,rough,grain,no,ochre yellow,,no,yes,no,sand,,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000168r,,,,,,,,,,,,,,,,no,Buccheri_FM,Buccheri_FM,breccia,buccheri,,,red nodular limestone with veins ,"mudstone with veins of sparitic calcite and Fe-Mn encrustations; nannoplankton, radiolarians, likely BCH ().","mudstone with veins of sparitic calcite and Fe-Mn encrustations; nannoplankton, radiolarians",,,2,BCH,,,,,,,imerese,buccheri,,,,polished,matrix,yes,red,,no,no,no,mud,micrite,,,yes,yes,no,,,,,,,,,,"nannoplankton, radiolarians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000168w,,,,,,,,,,,,,,,,no,Buccheri_FM,Buccheri_FM,breccia,buccheri,,,red nodular limestone with veins ,"mudstone with veins of sparitic calcite and Fe-Mn encrustations; nannoplankton, radiolarians, likely BCH ().","mudstone with veins of sparitic calcite and Fe-Mn encrustations; nannoplankton, radiolarians",,,2,BCH,,,,,,,imerese,buccheri,,,,polished,matrix,yes,white,,no,no,no,,sparite,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic002098,stone.limestone.polishable.pink,calcare_rosato,unspecified,calcare_rosato,"breccia corallina, breccia mortadella",,,,,,,,,,,,,,,,,,,"brecciated limestone with white nodules and pink groundmass, likely breccia mortadella ().",brecciated limestone with white nodules and pink groundmass,,,,breccia mortadella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000095b,,,,,,,,,,,,,,,,no,Buccheri_FM,Buccheri_FM,unspecified,buccheri,,,buccheri formation?,"breccia with orangish clasts, red and white veins, likely BUC (nodules containing extraclasts, mudstone with foraminifera and Fe-Mn veins(saccocoma, sponge spicolae, Fe-Mn encrustation)).","breccia with orangish clasts, red and white veins","nodules containing extraclasts, mudstone with foraminifera and Fe-Mn veins(saccocoma, sponge spicolae, Fe-Mn encrustation)",,1,BUC,Sicily,,,,,,imerese,buccheri,,,,polished,matrix,yes,brown,,no,no,yes,,microspar,,,yes,no,no,,,,,,,,,,,"saccocoma, sponge spicolae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000095o,,,,,,,,,,,,,,,,no,Buccheri_FM,Buccheri_FM,unspecified,buccheri,,,buccheri formation?,"breccia with orangish clasts, red and white veins, likely BUC (nodules containing extraclasts, mudstone with foraminifera and Fe-Mn veins(saccocoma, sponge spicolae, Fe-Mn encrustation)).","breccia with orangish clasts, red and white veins","nodules containing extraclasts, mudstone with foraminifera and Fe-Mn veins(saccocoma, sponge spicolae, Fe-Mn encrustation)",,1,BUC,Sicily,,,,,,imerese,buccheri,,,,polished,matrix,yes,orange,,no,no,no,sand,micrite,,,yes,yes,yes,,,,,,,,yes,,,"saccocoma, sponge spicolae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000095p,,,,,,,,,,,,,,,,no,Buccheri_FM,Buccheri_FM,unspecified,buccheri,,,buccheri formation?,"breccia with orangish clasts, red and white veins, likely BUC (nodules containing extraclasts, mudstone with foraminifera and Fe-Mn veins(saccocoma, sponge spicolae, Fe-Mn encrustation)).","breccia with orangish clasts, red and white veins","nodules containing extraclasts, mudstone with foraminifera and Fe-Mn veins(saccocoma, sponge spicolae, Fe-Mn encrustation)",,1,BUC,Sicily,,,,,,imerese,buccheri,,,,polished,matrix,yes,pink,,no,no,no,mud,micrite,,,yes,yes,yes,,,,,,,,,,,"saccocoma, sponge spicolae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000095p,,,,,,,,,,,,,,,,no,Buccheri_FM,Buccheri_FM,unspecified,buccheri,,,buccheri formation?,"breccia with orangish clasts, red and white veins, likely BUC (nodules containing extraclasts, mudstone with foraminifera and Fe-Mn veins(saccocoma, sponge spicolae, Fe-Mn encrustation)).","breccia with orangish clasts, red and white veins","nodules containing extraclasts, mudstone with foraminifera and Fe-Mn veins(saccocoma, sponge spicolae, Fe-Mn encrustation)",,1,BUC,Sicily,,,,,,imerese,buccheri,,,,polished,matrix,yes,purple,,yes,no,no,,micrite,,,yes,no,no,,,,,,,,,,,"saccocoma, sponge spicolae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000095w,,,,,,,,,,,,,,,,no,Buccheri_FM,Buccheri_FM,unspecified,buccheri,,,buccheri formation?,"breccia with orangish clasts, red and white veins, likely BUC (nodules containing extraclasts, mudstone with foraminifera and Fe-Mn veins(saccocoma, sponge spicolae, Fe-Mn encrustation)).","breccia with orangish clasts, red and white veins","nodules containing extraclasts, mudstone with foraminifera and Fe-Mn veins(saccocoma, sponge spicolae, Fe-Mn encrustation)",,1,BUC,Sicily,,,,,,imerese,buccheri,,,,polished,matrix,yes,white,,yes,no,no,,sparite,,,yes,no,no,,,,,,,,,,,"saccocoma, sponge spicolae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000095y,,,,,,,,,,,,,,,,no,Buccheri_FM,Buccheri_FM,unspecified,buccheri,,,buccheri formation?,"breccia with orangish clasts (ca. 10-20 cm), red and white veins, likely BUC (mudstone elements with foraminifera and Fe-Mn veins (saccocoma, sponge spicolae, Fe-Mn encrustation)).","breccia with orangish clasts (ca. 10-20 cm), red and white veins","mudstone elements with foraminifera and Fe-Mn veins (saccocoma, sponge spicolae, Fe-Mn encrustation)",,1,BUC,Sicily,,,,,,imerese,buccheri,,,,polished,matrix,yes,yellow,,no,no,no,sand,micrite,,,yes,yes,yes,,,,,,,,,,,"saccocoma, sponge spicolae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000098pi,,,,,,,,,,,,,,,,yes,Buccheri_FM,Buccheri_FM,Buccheri_FM,buccheri,,na,brecciated_limestone,"brecciated red limestone with white veins, likely BUC (wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation).",brecciated red limestone with white veins,"wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation",,1,BUC,Sicily,,sand-grade,micrite,,wackestone,imerese,buccheri,,,,polished,matrix,yes,dark pink,,no,no,no,sand,micrite,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000098pu,,,,,,,,,,,,,,,,yes,Buccheri_FM,Buccheri_FM,Buccheri_FM,buccheri,,na,brecciated_limestone,"brecciated red limestone with white veins, likely BUC (wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation).",brecciated red limestone with white veins,"wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation",,1,BUC,Sicily,,na,Fe-Mn opaque minerals,,,imerese,buccheri,,,,polished,matrix,yes,purple,,yes,no,no,sand,micrite,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
