ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum,
ISic000001,,no,no,no,,stone.marble,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000001,,51,300,,Caltanissetta,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000002,,no,no,no,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000002,,201,300,Catina,Catania,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000003,ISic000003,yes,yes,no,,stone.marble,TRUE,,,"identification based on pXRF, digital microscopy","pXRF, digital microscopy",,pXRF,digital microscopy,,,,,,,,,ISic000003,,101,300,Catina,Catania,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000004,ISic000004,yes,yes,no,no,stone.marble,TRUE,,,"identification based on pXRF, digital microscopy, XRD, optical microscopy, stable isotopes analysis, EPR, LA-ICP-MS","pXRF, digital microscopy, XRD, optical microscopy, stable isotopes analysis, EPR, LA-ICP-MS",,pXRF,digital microscopy,XRD,optical microscopy,stable isotopes analysis,EPR,LA-ICP-MS,yes,yes,,ISic000004,yes,101,150,Centuripae,Centuripe,marble,building,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000005,,no,no,no,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000005,,51,200,Centuripae,Centuripe,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000006,ISic000006,yes,yes,no,,stone.marble,TRUE,,,"identification based on pXRF, digital microscopy","pXRF, digital microscopy",,pXRF,digital microscopy,,,,,,,,,ISic000006,,1,200,Cossura,Pantelleria,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000007,ISic000007,yes,yes,yes,no,stone.calcilutite,TRUE,,,"identification based on pXRF, digital microscopy","pXRF, digital microscopy",,pXRF,digital microscopy,,,,,,,,,ISic000007,,-39,-36,Lilybaeum,Marsala,limestone,building,chiselled,Latin,Museo archeologico regionale Lilibeo Marsala - Baglio Anselmi,
ISic000008,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000008,,1,300,Lipara,Lipari,volcanic (pietra lavica locale),funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000009,ISic000009,yes,yes,yes,yes,stone.calcite_limestone,TRUE,,,"identification based on XRD, optical microscopy","XRD, optical microscopy",,,,XRD,optical microscopy,,,,yes,yes,,ISic000009,,51,100,Panhormus,Palermo,limestone,dedication,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000010,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000010,,1,100,Panhormus,Palermo,limestone,dedication,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000011,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000011,,162,163,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000012,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000012,,195,211,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000013,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000013,,195,196,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000014,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000014,,195,211,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000015,ISic000015,yes,no,,,stone.calcite_limestone,TRUE,,,identification based on XRD,XRD,,,,XRD,,,,,yes,yes,,ISic000015,,196,197,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000016,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000016,,198,198,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000017,ISic000017,yes,no,,,stone.calcite_limestone,TRUE,,,identification based on XRD,XRD,,,,XRD,,,,,yes,yes,,ISic000017,,198,199,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000018,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000018,,198,198,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000019,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000019,,161,300,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000020,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000020,,218,235,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000021,ISic000021,yes,no,,,stone.calcite_limestone,TRUE,,,identification based on XRD,XRD,,,,XRD,,,,,yes,yes,,ISic000021,,222,223,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000022,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000022,,175,225,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
